EmployeeID,OrderID,CustomerID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,ProductID,UnitPrice,Quantity,Discount
5,10248,VINET,7/4/1996,8/1/1996,7/16/1996,3,$32.38 ,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,11,$14.00 ,12,0
5,10248,VINET,7/4/1996,8/1/1996,7/16/1996,3,$32.38 ,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,42,$9.80 ,10,0
5,10248,VINET,7/4/1996,8/1/1996,7/16/1996,3,$32.38 ,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,72,$34.80 ,5,0
6,10249,TOMSP,7/5/1996,8/16/1996,7/10/1996,1,$11.61 ,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,14,$18.60 ,9,0
6,10249,TOMSP,7/5/1996,8/16/1996,7/10/1996,1,$11.61 ,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,51,$42.40 ,40,0
4,10250,HANAR,7/8/1996,8/5/1996,7/12/1996,2,$65.83 ,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,51,$42.40 ,35,0.150000006
4,10250,HANAR,7/8/1996,8/5/1996,7/12/1996,2,$65.83 ,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,65,$16.80 ,15,0.150000006
4,10250,HANAR,7/8/1996,8/5/1996,7/12/1996,2,$65.83 ,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,41,$7.70 ,10,0
3,10251,VICTE,7/8/1996,8/5/1996,7/15/1996,1,$41.34 ,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,22,$16.80 ,6,0.050000001
3,10251,VICTE,7/8/1996,8/5/1996,7/15/1996,1,$41.34 ,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,57,$15.60 ,15,0.050000001
3,10251,VICTE,7/8/1996,8/5/1996,7/15/1996,1,$41.34 ,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,65,$16.80 ,20,0
4,10252,SUPRD,7/9/1996,8/6/1996,7/11/1996,2,$51.30 ,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,60,$27.20 ,40,0
4,10252,SUPRD,7/9/1996,8/6/1996,7/11/1996,2,$51.30 ,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,20,$64.80 ,40,0.050000001
4,10252,SUPRD,7/9/1996,8/6/1996,7/11/1996,2,$51.30 ,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,33,$2.00 ,25,0.050000001
3,10253,HANAR,7/10/1996,7/24/1996,7/16/1996,2,$58.17 ,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,49,$16.00 ,40,0
3,10253,HANAR,7/10/1996,7/24/1996,7/16/1996,2,$58.17 ,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,39,$14.40 ,42,0
3,10253,HANAR,7/10/1996,7/24/1996,7/16/1996,2,$58.17 ,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,31,$10.00 ,20,0
5,10254,CHOPS,7/11/1996,8/8/1996,7/23/1996,2,$22.98 ,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,24,$3.60 ,15,0.150000006
5,10254,CHOPS,7/11/1996,8/8/1996,7/23/1996,2,$22.98 ,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,55,$19.20 ,21,0.150000006
5,10254,CHOPS,7/11/1996,8/8/1996,7/23/1996,2,$22.98 ,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,74,$8.00 ,21,0
